"Time","Position"
0.013889999999999602,3.1298524647618756E-5
0.013899999999999602,3.1301306127644193E-5
0.013909999999999602,3.1303787066738344E-5
0.013919999999999601,3.1306064529512276E-5
0.0139299999999996,3.1308165947338084E-5
0.0139399999999996,3.13100855870712E-5
0.0139499999999996,3.131182260485274E-5
0.0139599999999996,3.131336259779408E-5
0.013969999999999599,3.1314683689080974E-5
0.013979999999999599,3.131583513181338E-5
0.013989999999999598,3.1316881235821704E-5
0.013999999999999598,3.131790745677627E-5
0.014009999999999597,3.1318965301379934E-5
0.014019999999999597,3.1320114120047415E-5
0.014029999999999597,3.1321393821756375E-5
0.014039999999999596,3.132279467699113E-5
0.014049999999999596,3.1324308804745576E-5
0.014059999999999595,3.132582533585E-5
0.014069999999999595,3.1327279508874955E-5
0.014079999999999595,3.132855432324315E-5
0.014089999999999594,3.132956411224161E-5
0.014099999999999594,3.133024353533311E-5
0.014109999999999593,3.133052186687128E-5
0.014119999999999593,3.1330416434668555E-5
0.014129999999999593,3.1329925284100456E-5
0.014139999999999592,3.132903760247314E-5
0.014149999999999592,3.1327720988523916E-5
0.014159999999999591,3.132594826587703E-5
0.014169999999999591,3.132374249579622E-5
0.01417999999999959,3.132118181264471E-5
0.01418999999999959,3.1318421624594356E-5
0.01419999999999959,3.131564580660789E-5
0.01420999999999959,3.131287445990663E-5
0.014219999999999589,3.131006783045588E-5
0.014229999999999588,3.130717912814627E-5
0.014239999999999588,3.130420547767348E-5
0.014249999999999588,3.1301132447503774E-5
0.014259999999999587,3.130292716856153E-5
0.014269999999999587,3.130775966026163E-5
0.014279999999999586,3.131255141754914E-5
0.014289999999999586,3.1317276444576505E-5
0.014299999999999586,3.132180623925801E-5
0.014309999999999585,3.132579639722968E-5
0.014319999999999585,3.1328834747512726E-5
0.014329999999999584,3.133057344552425E-5
0.014339999999999584,3.133085961082251E-5
0.014349999999999584,3.1329752289613624E-5
0.014359999999999583,3.1327492175858046E-5
0.014369999999999583,3.132442549549553E-5
0.014379999999999582,3.132082928189825E-5
0.014389999999999582,3.131685822856868E-5
0.014399999999999582,3.1312547033810036E-5
0.014409999999999581,3.1307849167966416E-5
0.01441999999999958,3.1302786123565434E-5
0.01442999999999958,3.1297480603684374E-5
0.01443999999999958,3.129209925608988E-5
0.01444999999999958,3.128678356482754E-5
0.014459999999999579,3.128164273895895E-5
0.014469999999999579,3.127665965750608E-5
0.014479999999999578,3.1271721609463934E-5
0.014489999999999578,3.126669438914456E-5
0.014499999999999577,3.126136578337584E-5
0.014509999999999577,3.12556404156943E-5
0.014519999999999577,3.125049593555142E-5
0.014529999999999576,3.124725342119688E-5
0.014539999999999576,3.124343105188404E-5
0.014549999999999575,3.123913965028273E-5
0.014559999999999575,3.1234499878058325E-5
0.014569999999999575,3.12295667101182E-5
0.014579999999999574,3.1224351265936813E-5
0.014589999999999574,3.1218859249753216E-5
0.014599999999999573,3.121312024719383E-5
0.014609999999999573,3.1207076954800626E-5
0.014619999999999573,3.120078074328987E-5
0.014629999999999572,3.1194120778068454E-5
0.014639999999999572,3.118705651610892E-5
0.014649999999999571,3.1179540072985256E-5
0.014659999999999571,3.117159212840823E-5
0.01466999999999957,3.116315935196197E-5
0.01467999999999957,3.115416295520951E-5
0.01468999999999957,3.114461240381684E-5
0.01469999999999957,3.113452386204027E-5
0.014709999999999569,3.1123939369170015E-5
0.014719999999999568,3.11128603938399E-5
0.014729999999999568,3.1101288077148595E-5
0.014739999999999568,3.108922361732975E-5
