,index,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
21,6164.0,-2.5933906764959014,-1.8494217865728615,-12.700836308486885,-13.556648241340064,29.010641556311025,-17.6605681287787
22,6165.0,-2.7752458769028396,-1.9232585094096066,-13.273165713492773,-13.091641864973043,29.91287535196481,-17.724505482205068
23,6166.0,-2.952862640287355,-1.9897532195360554,-13.840908508749465,-11.807071323132192,30.363540560693373,-17.491005504410822
24,6167.0,-3.140254782373825,-2.0533436226182857,-14.408763619413776,-12.064491138292665,32.933251062547015,-17.87326721906713
25,6168.0,-3.330386779716342,-2.120637411910593,-14.970090992252523,-9.19268469668237,31.140450590406456,-17.17645366414798
26,6169.0,-3.5302901011045984,-2.183200523412779,-15.537327781819073,-8.519486553724835,31.97588173983793,-16.030516257195732
27,6170.0,-3.7226867526809686,-2.241603277434706,-16.098050723017394,-7.1724302901146935,32.6166514411146,-16.18609750116474
28,6171.0,-3.9189124460479423,-2.2960727250745094,-16.655092495494046,-5.7953197455493415,33.21120420116978,-16.056514609588177
29,6172.0,-4.103415178885085,-2.3671989096561674,-17.215300060381196,-4.436355399429771,33.16527211300942,-16.079155126667956
30,6173.0,-4.307748035112164,-2.382269049326851,-17.758218980531126,-3.105253095399578,33.84108714159285,-15.494627946022437
31,6174.0,-4.501095327992549,-2.440117875328383,-18.317593898434183,-1.979201910002233,34.08689410065075,-15.04055053843623
32,6175.0,-4.693962368104799,-2.4768727025847284,-18.871847511180107,0.6245621952333265,34.70719121227377,-16.759976786570462
33,6176.0,-4.896744848294368,-2.5174525055481354,-19.433772249409344,1.4120461413292176,34.63438456369497,-16.560659110056758
34,6177.0,-5.093097745298084,-2.5319462291572563,-19.985552345096607,3.378679157460548,35.27296731566714,-17.036550004809914
35,6178.0,-5.279926221862068,-2.562516792625388,-20.534683988277976,4.048993062059877,36.2299751166127,-17.969177995851656
36,6179.0,-5.474700507139729,-2.579714046382719,-21.08194263202904,5.638422957488314,35.48663831745817,-16.554307974333714
37,6180.0,-5.673624726256212,-2.5927215309291114,-21.623989483163882,7.279591892166345,35.07951077357856,-15.457922075270112
38,6181.0,-5.867381284495048,-2.6019842406489033,-22.16964520261999,8.496323227833528,34.96979922780348,-15.141682579631135
39,6182.0,-6.0499227817565036,-2.598259451116064,-22.7118669106398,9.911958477746047,34.513317019009875,-14.700970771418696
40,6183.0,-6.234306777643267,-2.598191442995926,-23.254219216905483,11.846540186920212,32.500932483800135,-14.65093667039321
41,6184.0,-6.408389715310677,-2.5808497478326444,-23.80334177977838,12.421164274974307,32.08633246504415,-12.43160920429087
42,6185.0,-6.587351768559818,-2.564165879861662,-24.345211877463043,14.376427240646622,31.3824270269508,-12.763916991905258
43,6186.0,-6.750982484864616,-2.526971057285323,-24.89008620349344,15.733225785600442,30.65027428442947,-12.866683259706672
44,6187.0,-6.925596270284623,-2.4891238149460833,-25.42435534325267,16.94845693518279,30.572307909582022,-12.471535122426769
45,6188.0,-7.0721471497618715,-2.441401340991547,-25.969257716757028,17.592189880671803,29.38862171977244,-11.197031758111844
46,6189.0,-7.242019987050396,-2.3910272475155807,-26.505860296120375,18.439535041378274,28.781053796060167,-10.571821989922878
47,6190.0,-7.385777032472558,-2.3143294855487966,-27.041327943976967,19.683147914032,27.81481775053902,-10.4499467803815
48,6191.0,-7.541887276671368,-2.2498966863082615,-27.571199054666266,21.178053572787864,27.325807129369647,-10.183803583019806
49,6192.0,-7.685018197904391,-2.1792758779829455,-28.107447580458285,22.153612399427587,26.355020775217387,-9.21374560890135
50,6193.0,-7.821334613829011,-2.098225722079974,-28.64371414569655,23.31172708896144,25.21996075367628,-8.613207681844296
51,6194.0,-7.944325989625432,-1.9979535649320042,-29.170632993471685,24.029933787775445,24.325789059184057,-8.165021861304501
